date,company,action,price,shares,value,holding_period_years
2023-09-04,Premier Polyfilm Ltd.,SELL,21.56,2616.4311878597596,56410.256410256414,1.0
2023-09-04,Premier Polyfilm Ltd.,BUY,21.56,2319.109461966605,50000.0,
2024-09-02,Magnanimous Trade & Finance Ltd.,SELL,5.64,13020.833333333334,73437.5,1.0
2024-09-02,Nagreeka Capital & Infrastructure Ltd.,SELL,25.65,3196.93094629156,82001.2787723785,1.0
2024-09-02,Tilaknagar Industries Ltd.,SELL,282.7,231.3743637204998,65409.532623785286,1.0
2024-09-02,Liberty Shoes Ltd.,SELL,460.65,194.74196689386562,89707.8870496592,1.0
2024-09-02,Parker Agrochem Exports Ltd.,SELL,16.25,4420.866489832007,71839.0804597701,1.0
2024-09-02,Lee & Nee Softwares (Exports) Ltd.,SELL,11.85,6297.229219143576,74622.16624685138,1.0
2024-09-02,Bhartiya International Ltd.,SELL,492.85,224.0645305848084,110430.20389872283,1.0
2024-09-02,Bajaj Finserv Ltd.,SELL,1840.55,33.01419610432486,60764.27863981512,1.0
2024-09-02,Wallfort Financial Services Ltd.,SELL,149.0,672.8569506122998,100255.68564123267,1.0
2024-09-02,Centenial Surgical Suture Ltd.,SELL,119.0,633.7938902268982,75421.47293700089,1.0
2024-09-02,Sam Industries Ltd.,SELL,76.27,738.1163271331562,56296.13227044582,1.0
2024-09-02,Arnold Holdings Ltd.,SELL,47.08,2815.3153153153153,132545.04504504503,1.0
2024-09-02,Panasonic Energy India Co. Ltd.,SELL,503.85,147.08045300779526,74106.48624797765,1.0
2024-09-02,Balmer Lawrie & Co. Ltd.,SELL,279.85,298.41838257236645,83512.38436287676,1.0
2024-09-02,Prashant India Ltd.,BUY,14.0,3571.4285714285716,50000.0,
2024-09-02,Murudeshwar Ceramics Ltd.,BUY,60.51,826.3097008758883,50000.0,
2024-09-02,Ceeta Industries Ltd.,BUY,38.44,1300.7284079084288,50000.0,
2024-09-02,Arvee Laboratories (India) Ltd.,BUY,184.63,270.81189405838705,50000.0,
2024-09-03,Premier Polyfilm Ltd.,SELL,44.5,2319.109461966605,103200.37105751393,1.0
2025-09-02,Prashant India Ltd.,SELL,10.86,3571.4285714285716,38785.71428571428,1.0
2025-09-02,Murudeshwar Ceramics Ltd.,SELL,43.61,826.3097008758883,36035.36605519749,1.0
2025-09-02,Ceeta Industries Ltd.,SELL,44.07,1300.7284079084288,57323.10093652446,1.0
2025-09-02,Arvee Laboratories (India) Ltd.,SELL,163.18,270.81189405838705,44191.0848724476,1.0
